,Sale Price,No of Bedrooms,No of Bathrooms,Flat Area (in Sqft),No of Floors,Waterfront View,Condition of the House,Overall Grade,Area of the House from Basement (in Sqft),Basement Area (in Sqft),Age of House (in Years),Living Area after Renovation (in Sqft),Lot Area after Renovation (in Sqft),Purchase Year,Year Since Renovation
839,0,4,2.5,2470.0,2.0,0,1,8,2470.0,0,16,2100.0,5972,2016,0
840,0,4,1.75,1660.0,1.0,0,1,7,960.0,700,62,1340.0,9023,2017,0
841,0,3,1.0,1340.0,1.0,0,1,7,940.0,400,31,1020.0,5500,2017,0
842,0,3,1.0,1620.0,1.5,0,3,7,1620.0,0,107,2440.0,28826,2017,40
843,0,3,2.25,2300.0,2.0,0,1,8,2300.0,0,41,1760.0,47916,2016,0
844,0,4,3.5,2000.0,3.0,0,1,8,2000.0,0,10,1440.0,1548,2017,0
845,0,3,2.25,1640.0,1.0,0,3,8,1640.0,0,46,1870.0,11050,2017,0
846,1,4,2.0,1530.0,1.5,0,3,7,1530.0,0,106,1860.0,4080,2017,0
847,1,3,1.75,4000.0,1.0,0,1,9,2190.0,1810,31,2530.0,8650,2017,0
848,1,3,1.75,1610.0,1.0,0,1,7,1080.0,530,41,1780.0,10374,2016,0
849,0,3,2.0,2070.0,1.0,0,3,7,1450.0,620,49,1630.0,7885,2017,0
850,1,4,2.5,1900.0,2.0,0,1,8,1900.0,0,24,2030.0,5790,2017,0
851,0,3,1.0,1050.0,1.0,0,3,7,1050.0,0,58,1610.0,27600,2017,36
852,0,3,2.5,1520.0,2.0,0,1,8,1180.0,340,12,1270.0,1718,2017,0
853,0,4,1.75,2390.0,1.0,0,1,7,1750.0,640,69,1840.0,33900,2017,0
854,0,5,2.75,2400.0,2.0,0,1,8,2400.0,0,20,2400.0,8050,2017,0
855,0,4,2.5,1790.0,2.0,0,1,7,1790.0,0,13,1950.0,5660,2017,0
856,0,3,2.5,1720.0,2.0,0,1,7,1720.0,0,25,1570.0,6587,2017,0
857,0,4,2.75,2980.0,1.0,0,3,8,1800.0,1180,39,1920.0,10731,2016,0
858,0,3,1.0,1520.0,1.5,0,4,8,1520.0,0,30,2640.0,213444,2017,0
859,0,3,1.75,1150.0,1.0,0,3,7,1150.0,0,41,1330.0,7040,2017,0
860,0,1,0.75,380.0,1.0,0,1,5,380.0,0,55,1170.0,15000,2017,0
861,1,3,1.0,910.0,1.0,0,1,7,910.0,0,67,1520.0,6300,2016,0
862,1,3,1.75,1650.0,1.0,0,1,8,1230.0,420,42,1930.0,8958,2017,0
863,1,3,3.5,2480.0,2.0,0,1,10,2480.0,0,8,1980.0,3200,2016,0
864,0,4,2.5,2050.0,2.0,0,1,8,2050.0,0,28,2050.0,7920,2017,0
865,0,3,2.25,1420.0,2.0,0,3,7,1420.0,0,29,1560.0,7471,2016,0
866,0,3,2.5,3460.0,2.0,0,1,7,3460.0,0,17,2490.0,6312,2016,0
867,0,3,2.5,1500.0,2.0,0,1,8,1500.0,0,22,1730.0,4408,2017,0
868,0,2,1.0,1320.0,1.0,0,3,7,1320.0,0,110,1270.0,4120,2017,0
869,0,5,2.5,2180.0,1.0,0,3,8,1220.0,960,41,2050.0,7590,2016,0
870,1,3,1.75,1830.0,1.0,0,1,7,1230.0,600,99,1950.0,4160,2016,0
871,0,3,2.25,1620.0,1.0,0,1,7,1220.0,400,56,1600.0,7910,2017,0
872,1,3,2.0,2920.0,1.0,0,4,8,1460.0,1460,43,2920.0,10988,2016,0
873,1,4,2.5,3300.0,2.0,0,1,10,3300.0,0,34,2820.0,11462,2016,0
874,1,3,2.25,3060.0,2.0,0,1,10,3060.0,0,35,3060.0,11455,2017,0
875,1,0,0.0,3064.0,3.5,0,1,7,3064.0,0,28,2360.0,4000,2017,0
876,0,3,1.0,1530.0,1.0,0,1,7,1530.0,0,59,1380.0,8498,2016,0
877,0,3,2.0,1910.0,1.0,0,1,7,1410.0,500,40,2040.0,8750,2017,0
878,0,3,1.0,1020.0,1.0,0,1,7,1020.0,0,64,1020.0,8100,2017,0
879,0,3,1.0,1150.0,1.0,0,1,6,1150.0,0,86,1120.0,8100,2017,0
880,0,3,1.5,1260.0,1.0,0,1,7,870.0,390,77,1620.0,7000,2017,0
881,0,4,2.0,1920.0,1.0,0,2,6,920.0,1000,104,1120.0,4822,2016,0
882,0,4,2.25,1800.0,1.0,0,1,8,1800.0,0,49,2060.0,8800,2017,0
883,1,3,1.75,2040.0,2.0,0,4,7,1360.0,680,94,1610.0,4000,2017,0
884,1,4,2.5,2200.0,2.0,0,4,8,1430.0,770,110,2100.0,4000,2017,0
885,1,5,2.5,3200.0,1.0,0,1,7,2160.0,1040,66,4090.0,15732,2017,0
886,1,5,3.25,2400.0,2.0,0,3,7,1780.0,620,90,2100.0,3941,2017,0
887,0,2,1.5,1140.0,3.0,0,1,7,1140.0,0,13,1170.0,1116,2017,0
888,0,3,1.5,1330.0,1.0,0,1,7,1330.0,0,42,1460.0,8520,2017,0
889,0,3,2.5,1940.0,2.0,0,3,8,1940.0,0,24,2810.0,8333,2017,0
890,1,3,2.5,3000.0,2.0,0,1,9,3000.0,0,23,3000.0,32417,2017,0
891,1,4,1.0,1820.0,1.5,0,1,8,1820.0,0,95,1820.0,5400,2017,3
892,0,4,2.5,2910.0,2.0,0,1,8,2910.0,0,16,2740.0,5045,2017,0
893,0,2,1.0,1090.0,1.0,0,1,6,1090.0,0,64,1200.0,4992,2017,0
894,0,3,2.0,1230.0,2.0,0,1,7,1020.0,210,15,1260.0,1312,2017,0
895,0,5,2.5,1710.0,1.5,0,1,7,1710.0,0,56,1530.0,7700,2017,0
896,1,5,2.5,3160.0,1.0,0,3,9,1780.0,1380,47,3260.0,11470,2017,0
897,1,3,2.5,2680.0,2.0,0,1,9,2680.0,0,25,2670.0,32130,2017,0
898,1,4,2.25,2190.0,2.0,0,3,8,1840.0,350,41,2190.0,10251,2016,0
899,0,3,1.75,1260.0,1.0,0,3,7,1260.0,0,30,1640.0,9946,2016,0
900,1,4,3.5,2970.0,2.0,0,1,9,2340.0,630,21,3680.0,14486,2017,0
901,1,4,2.5,2570.0,1.5,0,1,10,2570.0,0,25,3420.0,37891,2017,0
902,1,4,3.5,3810.0,1.0,0,1,9,2560.0,1250,5,3230.0,9311,2017,0
903,0,1,1.5,1010.0,2.0,0,1,8,950.0,60,11,1360.0,1688,2017,0
904,0,3,2.0,1480.0,1.0,0,3,7,1080.0,400,39,1850.0,7348,2016,0
905,1,3,1.75,1250.0,1.5,0,4,7,1250.0,0,76,1180.0,6042,2017,0
906,0,3,2.25,1654.0,2.0,0,1,7,1654.0,0,23,1654.0,8479,2016,0
907,0,3,1.75,1410.0,1.0,0,4,7,1410.0,0,58,1630.0,8250,2017,0
908,1,5,2.75,2160.0,1.0,0,4,7,1500.0,660,68,2160.0,4996,2017,0
909,0,3,1.0,1400.0,1.0,0,3,6,700.0,700,101,1470.0,6000,2017,0
910,0,3,1.75,1420.0,1.0,0,3,7,1420.0,0,52,1660.0,8738,2017,0
911,1,4,2.25,2500.0,1.0,0,1,8,1600.0,900,43,2500.0,9750,2017,0
912,0,3,2.0,1410.0,1.0,0,1,7,1410.0,0,33,1410.0,9205,2017,0
913,0,4,1.75,2100.0,1.0,0,3,7,1050.0,1050,63,1730.0,4000,2017,0
914,0,3,2.5,1750.0,2.0,0,1,8,1750.0,0,24,2050.0,7524,2017,0
915,1,3,1.75,2070.0,1.0,0,3,7,1130.0,940,72,1800.0,4400,2017,0
916,1,3,3.25,1570.0,2.0,0,1,8,1260.0,310,11,1000.0,1777,2017,0
917,0,3,2.5,1920.0,2.0,0,1,8,1920.0,0,19,1920.0,5000,2017,0
918,0,2,1.0,1000.0,1.0,0,1,6,1000.0,0,75,1100.0,5160,2017,0
919,0,5,1.5,2120.0,1.5,0,4,7,2120.0,0,56,1730.0,7700,2017,0
920,0,3,2.0,1440.0,1.0,0,1,7,1440.0,0,53,1390.0,7830,2017,0
921,0,3,1.75,1660.0,2.0,0,1,7,1660.0,0,28,1520.0,16275,2016,0
922,0,3,1.5,1340.0,1.0,0,3,7,1340.0,0,60,1340.0,8920,2016,0
923,1,3,2.25,2380.0,1.0,0,3,9,1450.0,930,46,2750.0,11491,2017,0
924,0,3,1.75,1560.0,1.5,0,1,7,1000.0,560,92,1430.0,3738,2017,0
925,1,4,2.5,2780.0,1.0,0,1,7,1390.0,1390,51,2860.0,10506,2017,0
926,0,4,2.5,1860.0,1.0,0,3,7,1220.0,640,35,1860.0,6117,2017,0
927,0,3,1.5,2390.0,2.0,0,1,8,1750.0,640,98,1690.0,5220,2016,21
928,0,2,2.75,1370.0,2.0,0,1,8,1080.0,290,9,1370.0,1090,2016,0
929,0,4,3.0,2570.0,1.0,0,1,7,1420.0,1150,30,2260.0,19811,2017,0
930,0,3,2.5,1320.0,2.0,0,1,7,1320.0,0,13,1320.0,2533,2017,0
931,1,5,2.5,2520.0,1.0,0,1,7,1500.0,1020,37,2030.0,8580,2016,0
932,0,3,1.0,1250.0,1.0,0,3,6,1250.0,0,46,1920.0,15654,2016,0
933,0,3,2.25,1560.0,1.0,0,1,7,1290.0,270,33,1660.0,35160,2016,0
934,1,4,2.0,2330.0,1.5,0,4,7,1720.0,610,93,2090.0,5000,2017,0
935,1,3,2.0,3660.0,1.0,0,3,9,1830.0,1830,71,2680.0,8250,2016,0
936,0,4,2.5,2790.0,2.0,0,1,8,2790.0,0,14,2820.0,4650,2016,0
937,0,2,1.0,1060.0,1.0,0,3,6,1060.0,0,67,1850.0,8291,2017,0
938,0,3,2.5,2020.0,1.0,0,1,7,1310.0,710,24,1710.0,5151,2017,0
939,0,3,2.25,1580.0,1.0,0,1,7,1580.0,0,39,1980.0,75358,2016,0
940,1,4,3.0,2020.0,1.5,0,1,6,2020.0,0,118,1290.0,3440,2016,0
941,0,2,1.0,970.0,1.0,0,3,6,970.0,0,110,1490.0,4429,2017,0
942,1,4,3.0,1490.0,1.5,0,4,7,1490.0,0,103,1990.0,6526,2017,0
943,1,5,3.5,4390.0,2.0,0,1,9,3350.0,1040,13,2010.0,8400,2017,0
944,1,5,2.5,2750.0,1.5,0,4,9,1840.0,910,108,1460.0,4250,2017,0
945,0,4,1.5,2150.0,1.0,0,3,7,2150.0,0,68,2150.0,10125,2016,0
946,0,4,1.75,1810.0,1.0,0,1,7,1230.0,580,41,1870.0,9594,2016,0
947,1,3,3.0,2230.0,2.0,0,1,9,2230.0,0,28,2260.0,10160,2016,0
948,0,3,1.0,2430.0,1.0,0,1,7,2430.0,0,41,1660.0,11560,2016,0
949,1,3,2.5,3680.0,2.0,0,1,10,3680.0,0,24,3600.0,11306,2017,0
950,0,5,1.0,1410.0,1.5,0,1,6,1410.0,0,89,1360.0,6750,2016,0
951,1,3,1.75,1330.0,1.0,0,1,8,1330.0,0,60,2600.0,7350,2016,14
952,0,3,1.0,1490.0,1.0,0,1,7,1150.0,340,55,1730.0,9800,2017,0
953,1,3,2.5,2020.0,3.0,0,1,8,2020.0,0,18,1920.0,3600,2017,0
954,1,4,2.5,3130.0,2.0,0,1,10,3130.0,0,22,2840.0,10470,2016,0
955,1,4,3.0,2670.0,2.0,0,1,7,2670.0,0,102,2300.0,5000,2017,39
956,1,4,1.0,1980.0,1.5,0,1,7,1980.0,0,98,1810.0,3245,2016,0
957,0,3,1.75,2100.0,1.0,0,3,7,2100.0,0,55,1930.0,17238,2017,0
958,0,3,1.0,1350.0,1.0,0,4,6,1350.0,0,74,2080.0,8451,2017,0
959,0,4,1.5,2140.0,1.0,0,1,7,1190.0,950,59,2140.0,7238,2017,0
960,1,4,2.0,2208.0,3.0,0,4,8,2208.0,0,101,1760.0,5000,2017,0
961,0,3,2.0,1010.0,1.0,0,1,7,1010.0,0,36,1650.0,9030,2016,0
962,0,2,1.0,970.0,1.0,0,1,7,970.0,0,108,1670.0,3000,2017,0
963,0,4,2.0,1520.0,1.5,0,4,6,1520.0,0,98,1390.0,5407,2017,0
964,1,4,2.5,2740.0,2.0,0,1,9,2740.0,0,25,2740.0,33447,2017,0
965,0,3,1.75,1570.0,1.0,0,1,7,1300.0,270,65,1590.0,7660,2017,0
966,0,3,1.0,1320.0,1.0,0,1,7,1320.0,0,52,1320.0,9800,2017,0
967,1,4,2.75,2550.0,1.0,0,1,8,1440.0,1110,32,2290.0,8223,2017,0
968,0,3,1.75,1560.0,1.0,0,1,7,1250.0,310,35,1540.0,7485,2017,0
969,1,4,2.25,2360.0,2.0,0,3,8,2360.0,0,44,2360.0,9337,2017,0
970,1,3,1.75,1330.0,2.0,0,3,7,1210.0,120,109,1500.0,4000,2017,0
971,0,3,1.0,1070.0,1.0,0,3,7,1070.0,0,68,1840.0,12000,2016,0
972,0,3,1.25,1510.0,1.0,0,3,6,810.0,700,57,2560.0,10202,2016,0
973,1,3,2.5,1710.0,2.0,0,1,8,1710.0,0,19,2120.0,3560,2017,0
974,1,4,2.75,2790.0,2.0,0,1,10,2790.0,0,22,3080.0,12603,2017,0
975,1,4,2.5,2620.0,2.0,0,1,9,2620.0,0,17,2590.0,5371,2017,0
976,0,5,2.5,2970.0,1.0,0,3,8,1670.0,1300,49,2100.0,21803,2017,0
977,0,3,1.75,1050.0,1.0,0,3,7,1050.0,0,43,1360.0,7668,2016,0
978,0,3,1.0,1280.0,1.0,0,3,7,1280.0,0,62,1420.0,8800,2016,0
979,0,3,1.0,1030.0,1.0,0,3,7,1030.0,0,55,1270.0,8400,2016,0
980,0,3,2.25,1900.0,1.0,0,3,8,1390.0,510,41,1730.0,7800,2016,0
981,1,5,3.0,3070.0,1.0,0,3,9,1740.0,1330,50,2550.0,9689,2016,0
982,0,2,2.75,1760.0,2.0,0,1,8,1760.0,0,8,1870.0,3076,2016,0
983,0,2,1.0,930.0,1.0,0,1,7,930.0,0,66,1050.0,5400,2017,0
984,0,2,1.0,880.0,1.0,0,1,6,880.0,0,76,1370.0,7695,2017,0
985,1,3,2.5,1360.0,3.0,0,1,7,1310.0,50,15,1365.0,1156,2017,0
986,0,4,2.75,2130.0,1.0,0,1,7,1560.0,570,26,2130.0,8560,2017,0
987,0,3,1.0,1480.0,1.5,0,1,6,1120.0,360,78,1460.0,7379,2017,0
988,0,4,1.0,1500.0,1.5,0,3,7,1500.0,0,67,980.0,5366,2016,0
989,0,3,2.25,1670.0,2.0,0,1,8,1670.0,0,31,1850.0,5276,2016,0
990,1,4,1.75,2060.0,1.0,0,3,8,2060.0,0,58,2260.0,9996,2017,0
991,1,4,2.5,2160.0,1.0,0,3,8,1660.0,500,66,1520.0,7208,2016,0
992,1,4,2.0,2780.0,1.0,0,1,8,1190.0,1590,63,2580.0,10241,2016,0
993,0,3,2.0,1490.0,1.0,0,1,7,1490.0,0,30,1590.0,7795,2016,0
994,0,2,1.0,740.0,1.0,0,1,6,740.0,0,65,1170.0,6975,2017,0
995,0,4,2.5,1860.0,2.0,0,3,7,1860.0,0,27,1860.0,6449,2017,0
996,0,2,2.75,1590.0,1.5,0,1,5,1590.0,0,98,1310.0,6000,2017,0
997,1,2,1.0,850.0,1.0,0,1,7,850.0,0,96,1300.0,3000,2017,0
998,0,2,1.0,1030.0,1.0,0,1,8,1030.0,0,37,1450.0,3376,2016,0
999,0,3,2.0,1850.0,1.0,0,1,8,1850.0,0,30,2250.0,9550,2017,0
1000,1,4,2.0,1830.0,2.0,0,1,8,1830.0,0,110,1650.0,4590,2016,0
1001,0,3,2.0,1560.0,1.0,0,1,7,1560.0,0,51,1610.0,8750,2017,0
1002,0,4,1.75,1730.0,1.0,0,1,7,1230.0,500,41,1840.0,9800,2017,0
1003,1,3,2.5,1930.0,2.0,0,1,8,1930.0,0,13,1930.0,7266,2017,0
1004,0,3,2.25,1422.0,2.0,0,1,7,1422.0,0,6,1677.0,3677,2017,0
1005,1,3,2.0,1380.0,1.5,0,3,7,1380.0,0,101,1350.0,5000,2016,0
1006,1,3,2.5,2430.0,2.0,0,1,8,2430.0,0,17,2500.0,4798,2017,0
1007,0,4,2.5,2610.0,2.0,0,1,9,2610.0,0,31,2610.0,7773,2017,0
1008,1,3,2.25,2000.0,2.0,0,1,8,2000.0,0,22,2220.0,217800,2016,0
1009,0,2,1.0,920.0,1.0,0,3,6,490.0,430,69,1500.0,5000,2017,0
1010,0,4,1.75,1750.0,1.5,0,4,7,1050.0,700,92,1640.0,5500,2017,0
1011,0,3,1.75,2020.0,1.0,0,3,7,1180.0,840,37,2140.0,8008,2017,0
1012,1,4,2.25,2460.0,1.0,0,3,9,2460.0,0,61,2830.0,44431,2017,0
1013,1,4,3.0,1780.0,1.0,0,3,8,1780.0,0,54,1810.0,7920,2017,0
1014,0,2,1.0,1080.0,1.0,0,1,7,1080.0,0,96,2230.0,4500,2017,0
1015,0,3,1.0,1250.0,1.0,0,1,7,1250.0,0,38,1490.0,6320,2017,0
1016,1,4,2.25,1870.0,2.0,0,1,7,1870.0,0,41,1970.0,7700,2016,0
1017,0,3,1.75,1700.0,1.0,0,1,8,1230.0,470,41,1800.0,7842,2017,0
1018,0,4,1.5,1480.0,1.0,0,4,6,1480.0,0,76,1530.0,11000,2017,0
1019,0,4,2.5,1930.0,2.0,0,1,8,1930.0,0,18,1930.0,6168,2016,0
1020,1,4,2.75,3130.0,2.0,0,3,10,3130.0,0,25,3330.0,21810,2017,0
1021,0,3,2.25,1370.0,2.0,0,3,7,1370.0,0,26,1370.0,6200,2016,0
1022,0,3,1.75,960.0,1.0,0,1,7,960.0,0,56,1650.0,8035,2017,0
1023,0,3,1.75,1260.0,1.0,0,3,7,1260.0,0,49,1330.0,7326,2017,0
1024,0,3,1.5,1480.0,1.0,0,4,7,1480.0,0,58,1140.0,5320,2017,0
1025,0,4,2.5,1930.0,2.0,0,3,7,1930.0,0,26,1930.0,7525,2017,0
1026,0,2,1.0,870.0,1.5,0,2,6,870.0,0,112,1190.0,4440,2017,0
1027,0,4,1.0,1300.0,1.5,0,3,7,1300.0,0,65,1330.0,8400,2016,0
1028,0,3,1.75,1490.0,1.0,0,3,7,1490.0,0,28,1880.0,6861,2017,0
1029,1,2,1.0,1380.0,1.0,0,1,8,1030.0,350,71,1380.0,5347,2016,0
1030,1,4,2.0,1190.0,1.5,0,1,7,1190.0,0,73,1190.0,1567,2017,0
1031,1,4,4.25,4250.0,2.0,0,3,10,2870.0,1380,10,3640.0,8841,2016,0
1032,1,2,2.0,1920.0,1.0,0,1,8,1920.0,0,15,1670.0,5200,2016,0
1033,0,3,1.75,2080.0,1.0,0,4,6,2080.0,0,68,1690.0,11200,2017,0
1034,1,3,2.5,3220.0,2.0,0,3,9,2690.0,530,37,3460.0,44374,2017,0
1035,1,4,3.0,3680.0,1.0,0,1,10,2060.0,1620,51,3140.0,5000,2017,0
1036,0,5,2.5,2070.0,1.0,0,1,7,1270.0,800,56,1950.0,7800,2016,0
1037,0,3,1.75,1480.0,2.0,0,1,7,1480.0,0,23,1360.0,2190,2016,0
1038,0,4,2.5,2000.0,2.0,0,1,8,2000.0,0,15,2430.0,6339,2016,0
1039,1,3,2.5,1560.0,2.0,0,1,8,1560.0,0,19,2170.0,5461,2016,0
1040,0,2,1.0,1600.0,1.0,0,3,7,1390.0,210,69,1502.0,6798,2016,0
1041,1,4,2.5,1940.0,1.0,0,3,7,1140.0,800,42,2200.0,10500,2017,0
1042,1,3,1.75,1540.0,1.0,0,1,7,770.0,770,98,1420.0,4200,2017,0
1043,0,2,1.0,820.0,1.0,0,1,6,820.0,0,68,1660.0,15375,2016,0
1044,0,3,2.25,1780.0,1.0,0,1,7,1230.0,550,41,1780.0,7704,2017,0
1045,1,3,1.75,1560.0,1.0,0,1,7,1560.0,0,37,2320.0,220654,2016,0
1046,0,4,2.25,2210.0,1.0,0,3,8,1270.0,940,41,2030.0,8862,2016,0
1047,0,2,1.75,2040.0,1.0,0,3,7,2040.0,0,50,1850.0,94960,2017,0
1048,1,3,2.25,1920.0,1.0,0,1,8,1920.0,0,46,2260.0,8866,2017,17
1049,1,3,1.75,1930.0,1.0,0,1,9,1230.0,700,82,2300.0,6000,2017,0
1050,0,3,2.0,1700.0,1.0,0,1,6,890.0,810,74,1440.0,4250,2017,0
1051,1,4,3.25,3450.0,2.0,0,1,8,2450.0,1000,24,1750.0,6500,2017,0
1052,1,4,3.25,3440.0,2.0,0,1,10,3440.0,0,35,3440.0,35021,2017,0
1053,1,4,2.5,2380.0,2.0,0,1,10,2380.0,0,26,2730.0,9677,2017,0
1054,1,4,2.25,2400.0,1.5,0,3,7,1460.0,940,89,1250.0,4880,2017,0
1055,1,4,4.5,5670.0,2.0,0,1,10,5670.0,0,10,4100.0,83729,2016,0
1056,0,3,1.0,1140.0,1.0,0,3,7,1140.0,0,55,1140.0,10412,2016,0
1057,1,3,1.75,1670.0,1.0,0,1,7,1270.0,400,66,1460.0,6125,2017,0
1058,1,4,2.25,1910.0,1.0,0,1,8,1280.0,630,58,1860.0,8010,2017,0
1059,0,3,1.75,1560.0,1.0,0,3,8,1560.0,0,44,2200.0,9985,2016,0
1060,0,2,1.75,1500.0,1.0,0,3,7,1500.0,0,55,1220.0,8645,2017,0
1061,1,5,3.25,4475.0,2.0,0,1,9,4475.0,0,4,3720.0,6633,2017,0
1062,1,4,2.75,2840.0,1.0,0,3,9,1640.0,1200,57,2790.0,10070,2017,0
1063,0,3,1.0,1020.0,1.0,0,1,7,1020.0,0,49,1750.0,11640,2017,0
1064,0,3,1.5,1410.0,1.0,0,1,7,1410.0,0,65,1910.0,7214,2017,0
1065,1,3,1.0,1520.0,1.5,0,1,8,1520.0,0,106,1880.0,3600,2016,0
1066,0,1,1.0,730.0,1.0,0,3,4,730.0,0,92,1790.0,7969,2017,0
1067,0,3,1.0,1190.0,1.0,0,1,7,990.0,200,64,1760.0,6434,2017,0
1068,0,3,2.25,1410.0,2.0,0,1,7,1410.0,0,30,2050.0,8909,2017,0
1069,0,2,1.0,1240.0,1.0,0,1,7,1240.0,0,56,3050.0,25545,2017,0
1070,0,5,2.5,2500.0,1.0,0,1,8,1300.0,1200,52,2090.0,8568,2016,0
1071,0,3,1.0,1050.0,1.5,0,1,7,1050.0,0,64,1380.0,6384,2017,0
1072,1,4,2.75,2680.0,1.0,0,3,9,1480.0,1200,56,2940.0,8650,2016,0
1073,1,3,2.5,2380.0,1.0,0,3,9,1340.0,1040,54,2560.0,10070,2016,0
1074,1,2,1.0,1060.0,1.0,0,1,7,860.0,200,112,1060.0,4187,2016,0
1075,0,3,1.75,2300.0,1.0,0,3,8,1310.0,990,79,1160.0,8547,2016,0
1076,0,4,3.0,2010.0,1.0,0,4,7,1090.0,920,67,1470.0,7426,2016,0
1077,0,2,1.0,1090.0,1.0,0,3,7,730.0,360,76,990.0,5250,2017,0
1078,1,4,1.75,2320.0,1.0,0,1,7,1510.0,810,62,1840.0,5596,2016,0
1079,0,3,1.0,1040.0,1.0,0,1,6,1040.0,0,67,1140.0,6100,2016,0
1080,0,4,2.75,1810.0,1.5,0,1,7,1810.0,0,56,1740.0,8677,2017,0
1081,1,2,1.0,1150.0,1.0,1,3,6,1150.0,0,110,2440.0,11852,2017,0
1082,1,3,2.5,2360.0,1.0,0,1,9,2360.0,0,28,2390.0,11254,2017,0
1083,0,3,1.5,1970.0,1.5,0,3,8,1420.0,550,89,1940.0,4000,2016,0
1084,1,4,3.0,2690.0,1.0,0,1,8,2690.0,0,64,2820.0,27100,2017,18
1085,0,4,2.5,2080.0,1.0,0,4,7,1040.0,1040,56,1340.0,4080,2017,0
1086,1,4,2.5,2080.0,1.0,0,4,7,1040.0,1040,56,1340.0,4080,2016,0
1087,0,3,1.5,1370.0,1.0,0,1,7,1370.0,0,56,1400.0,9075,2017,0
1088,0,3,2.75,3410.0,1.5,0,3,8,3410.0,0,51,2260.0,10128,2016,0
1089,0,4,2.0,1850.0,1.0,0,3,8,1850.0,0,49,2110.0,11700,2016,0
1090,1,5,2.75,3010.0,2.0,0,1,10,3010.0,0,24,2890.0,9456,2017,0
1091,0,3,2.25,1530.0,2.0,0,1,7,1530.0,0,15,1560.0,3064,2016,0
1092,1,5,1.75,2690.0,1.0,0,3,7,1420.0,1270,66,2600.0,17539,2016,0
1093,1,4,1.5,2810.0,1.0,0,1,8,1490.0,1320,64,2240.0,6825,2017,0
1094,0,3,1.75,1810.0,1.0,0,3,7,1240.0,570,42,1460.0,7560,2017,0
1095,0,3,2.5,1560.0,2.0,0,1,7,1560.0,0,16,1600.0,3152,2016,0
1096,0,3,1.0,1010.0,1.0,0,3,6,1010.0,0,45,1200.0,9611,2017,0
1097,0,2,1.75,1000.0,1.0,0,3,6,600.0,400,94,2120.0,2802,2016,0
1098,0,2,1.5,990.0,3.0,0,1,7,990.0,0,17,1050.0,1380,2016,0
1099,0,2,1.0,720.0,1.0,0,3,5,720.0,0,76,860.0,4785,2017,0
1100,1,5,4.5,6070.0,2.0,0,1,10,6070.0,0,14,4750.0,13404,2017,0
1101,1,5,2.0,2270.0,2.0,0,1,7,2270.0,0,113,1320.0,2400,2017,0
1102,0,2,2.5,1380.0,2.0,0,1,7,1140.0,240,7,1580.0,2036,2017,0
1103,0,3,1.0,1260.0,1.0,0,3,6,840.0,420,59,1140.0,8496,2016,39
1104,1,4,2.5,2910.0,2.0,0,3,9,2910.0,0,31,2720.0,36728,2016,0
1105,1,3,2.0,1810.0,1.0,0,3,7,1810.0,0,58,1490.0,10800,2016,0
1106,1,4,2.5,3160.0,2.0,0,3,9,3160.0,0,23,3000.0,8281,2017,0
1107,1,2,2.75,1910.0,3.0,0,1,9,1910.0,0,16,1910.0,1879,2017,0
1108,0,3,1.0,1230.0,1.0,0,1,6,1230.0,0,71,1525.0,6026,2016,0
1109,0,4,2.5,2960.0,2.0,0,1,9,2960.0,0,12,2960.0,5361,2016,0
1110,0,3,2.25,2200.0,2.0,0,1,8,2200.0,0,30,2200.0,10002,2017,0
1111,0,2,1.5,1270.0,1.0,0,3,7,1270.0,0,71,1270.0,10200,2016,0
1112,0,4,2.5,2540.0,2.0,0,1,9,2540.0,0,26,2410.0,9383,2016,0
1113,1,4,3.25,3030.0,2.0,0,4,8,3030.0,0,30,2360.0,7632,2017,0
1114,1,3,1.75,1520.0,1.0,0,3,7,1520.0,0,61,1760.0,8580,2017,0
1115,0,4,2.5,1560.0,2.0,0,1,7,1560.0,0,21,1160.0,7800,2016,0
1116,1,2,1.0,970.0,1.0,0,3,7,970.0,0,111,1500.0,4560,2017,0
1117,1,5,3.75,3570.0,2.0,0,1,9,3570.0,0,13,3160.0,7882,2016,0
1118,0,3,1.0,1350.0,1.0,0,3,6,860.0,490,71,1130.0,7740,2017,0
1119,1,4,3.5,3710.0,2.0,0,1,8,2290.0,1420,16,1720.0,4276,2016,0
1120,0,4,1.0,1430.0,1.5,0,3,7,1430.0,0,35,1550.0,7938,2017,0
1121,0,3,1.0,940.0,1.0,0,1,6,940.0,0,68,1100.0,8573,2016,0
1122,1,5,4.5,4300.0,2.0,0,1,10,4300.0,0,14,3950.0,12250,2017,0
1123,1,4,1.75,3990.0,2.0,0,1,10,3990.0,0,12,5790.0,13709,2017,0
1124,0,3,1.0,1380.0,1.5,0,1,7,1380.0,0,108,1690.0,4000,2016,0
1125,0,4,1.75,2020.0,1.0,0,3,7,1010.0,1010,55,1650.0,7865,2017,0
1126,0,3,1.0,1480.0,1.0,0,1,6,780.0,700,74,760.0,5040,2017,0
1127,0,2,1.0,1190.0,1.0,0,3,5,1190.0,0,108,1730.0,12632,2017,0
1128,0,5,1.5,2550.0,1.0,0,3,7,1560.0,990,59,1380.0,6300,2017,0
1129,0,5,1.5,2550.0,1.0,0,3,7,1560.0,990,59,1380.0,6300,2016,0
1130,0,3,1.5,1500.0,1.0,0,1,7,1500.0,0,65,1500.0,6337,2016,0
